Sangkal	NORM
Putung	NORM
hadirr...	NORM
?	O

Luar	NORM
biasa	O
kak	O
.	O
padahal	O
aku	O
awalnya	O
gak	NORM
percaya	O
kalau	O
produk	O
dari@BEAUTYANDHEALTHYY	NORM
bisa	O
bikin	O
payudara	O
aku	O
tambah	O
besar&indah	O
ka	NORM
padahal	O
baru	O
pakai	O
2minggu	O
kurang	O
ka	NORM

Gw	NORM
baru	O
stalking	O
skrg	NORM
wkwk	O
@91tar	NORM

@veloveputrii	NORM
yg	NORM
goblok	O
dan	O
gk	NORM
ada	O
otak,	O
otak	O
udang	O
cm	NORM
0,1%	O
itu	O
elo.	NORM
Emang	NORM
utk	NORM
tau	O
smua	NORM
hrs	NORM
jd	NORM
babunya	O
dhani	O
maia	O
dlu??	NORM
Skrg	NORM
jaman	O
udh	NORM
canggih	O
dan	O
gampang	O
jalin	O
relasi	O
buat	O
tau	O
ttg	NORM
sesuatu	O
gw	NORM
mang	NORM
ckup	NORM
tau	O
ttg	NORM
kbiasaan	NORM
dhani	O
yg	NORM
doyan	O
perempuan	O
itu	O
udh	NORM
lama	O
tp	NORM
yg	NORM
difitnah	O
malah	O
maia.	O
Intinya	NORM
ya	O
otak	O
udang	O
lo	O
liat	NORM
aja	NORM
skrg	NORM
sapa	O
yg	NORM
hdpnya	NORM
lbh	NORM
enak	O
dan	O
bahagia	O
dan	O
yg	NORM
gk	NORM
byk	NORM
ngomong.	NORM
Si	NORM
dhani	O
rmh	NORM
aja	NORM
pake	NORM
pny	NORM
anknya	NORM
Al,	NORM
job	O
sepi,	O
cari	O
sensasi	O
mulu	O
utk	NORM
pngalihan	O
issue,	O
dll	O
nah	O
si	NORM
maia	O
lo	O
liat	NORM
aja	NORM
jd	NORM
wanita	O
sukses	O
kaya	NORM
raya	O
rmh	NORM
elit	O
,	O
jalan2	NORM
mulu	O
ke	O
eropa	O
itu	O
bukti	O
Tuhan	NORM
gk	NORM
prnh	NORM
tdr.	NORM
